日期,日电量(kw)
2014-09-01,5840
2014-09-02,5704
2014-09-03,5745
2014-09-04,5431
2014-09-05,5322
2014-09-06,2392
2014-09-07,3225
2014-09-08,5296
2014-09-09,5488
2014-09-10,5713
2014-09-11,5542
2014-09-12,5828
2014-09-13,2848
2014-09-14,3048
2014-09-15,5216
2014-09-16,5072
2014-09-17,5480
2014-09-18,5832
2014-09-19,4816
2014-09-20,2748
2014-09-21,2536
2014-09-22,5384
2014-09-23,5288
2014-09-24,5928
2014-09-25,5896
2014-09-26,5952
2014-09-27,2792
2014-09-28,2600
2014-09-29,5000
2014-09-30,4704
